ID,smiles,IC50,IC50_units,pIC50
BCRP_0840,COc1cc(/C=C/C(=O)OCCCCCN(C)C[C@@H](C)COC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,41,uM,4.387216143
BCRP_0841,COc1cc(/C=C/C(=O)OC[C@H](C)CN(C)CCCCCCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,4.7,uM,5.327902142
BCRP_0842,COc1cc(/C=C/C(=O)OCCCCCCCCN(C)CCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,5.4,uM,5.26760624
BCRP_0843,COC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,0.27,uM,6.568636236
BCRP_0844,COC(=O)[C@H](CC(C)C)NC(=O)c1cc(=O)c2c(OCc3ccccc3Br)cccc2o1,0.14,uM,6.853871964
BCRP_0845,CC[C@@H](C)[C@H](NC(=O)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1)C(=O)N[C@@H](CC(C)C)C(=O)OC,0.11,uM,6.958607315
BCRP_0846,COC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,29,uM,4.537602002
BCRP_0847,COc1cc(/C=C/C(=O)OCCCCCCCN(C)C[C@@H](C)COC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,4.3,uM,5.366531544
BCRP_0848,COc1cc(/C=C/C(=O)OCCCCCCCN(C)C[C@@H](C)COC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,6.2,uM,5.207608311
BCRP_0849,COc1cc(/C=C/C(=O)OCCN(C)CCCCCCCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,4.5,uM,5.346787486
BCRP_0850,COc1cccc(CCc2ccccc2NCc2cccc(OC)c2)c1,7,uM,5.15490196
BCRP_0851,COc1cccc(-c2nc(N3CC(C)CC(C)C3)c3ccccc3n2)c1O,1.04,uM,5.982966661
BCRP_0852,COc1ccc(COc2ccccc2CCc2ccccc2)cc1OC,58,uM,4.236572006
BCRP_0853,COc1cc(/C=C/C(=O)OC[C@H](C)CN(C)CCCCCCCOC(=O)c2c3ccccc3cc3ccccc23)cc(OC)c1OC,6.4,uM,5.193820026
